A.L.E: Arcade Learning Environment (version 0.10.1+6a7e0ae)
[Powered by Stella]
Épisode 46 terminé | Score : 940.00 | Total steps : 4540
Épisode 47 terminé | Score : 510.00 | Total steps : 4614
Épisode 48 terminé | Score : 1150.00 | Total steps : 4715
Épisode 49 terminé | Score : 1140.00 | Total steps : 4857
Épisode 50 terminé | Score : 260.00 | Total steps : 4911
Épisode 51 terminé | Score : 420.00 | Total steps : 4982
Épisode 52 terminé | Score : 1140.00 | Total steps : 5118
Épisode 53 terminé | Score : 340.00 | Total steps : 5175
Épisode 54 terminé | Score : 240.00 | Total steps : 5237
Épisode 55 terminé | Score : 1140.00 | Total steps : 5378
Épisode 56 terminé | Score : 260.00 | Total steps : 5432
Épisode 57 terminé | Score : 470.00 | Total steps : 5515
Épisode 58 terminé | Score : 1140.00 | Total steps : 5652
Épisode 59 terminé | Score : 340.00 | Total steps : 5707
Épisode 60 terminé | Score : 190.00 | Total steps : 5770
Épisode 61 terminé | Score : 880.00 | Total steps : 5890
Épisode 62 terminé | Score : 400.00 | Total steps : 5982
Épisode 63 terminé | Score : 400.00 | Total steps : 6061
Épisode 64 terminé | Score : 1140.00 | Total steps : 6199
Épisode 65 terminé | Score : 260.00 | Total steps : 6253
Épisode 66 terminé | Score : 460.00 | Total steps : 6355
Épisode 67 terminé | Score : 1140.00 | Total steps : 6495
Épisode 68 terminé | Score : 260.00 | Total steps : 6549
Épisode 69 terminé | Score : 430.00 | Total steps : 6620
Épisode 70 terminé | Score : 940.00 | Total steps : 6818
Épisode 71 terminé | Score : 510.00 | Total steps : 6892
Épisode 72 terminé | Score : 1060.00 | Total steps : 7030
Épisode 73 terminé | Score : 1140.00 | Total steps : 7165
Épisode 74 terminé | Score : 260.00 | Total steps : 7219
Épisode 75 terminé | Score : 430.00 | Total steps : 7290
Épisode 76 terminé | Score : 1140.00 | Total steps : 7427
Épisode 77 terminé | Score : 260.00 | Total steps : 7481
Épisode 78 terminé | Score : 440.00 | Total steps : 7592
Épisode 79 terminé | Score : 1140.00 | Total steps : 7731
Épisode 80 terminé | Score : 340.00 | Total steps : 7786
Épisode 81 terminé | Score : 890.00 | Total steps : 7910
Épisode 82 terminé | Score : 860.00 | Total steps : 8030
Épisode 83 terminé | Score : 410.00 | Total steps : 8088
Épisode 84 terminé | Score : 830.00 | Total steps : 8153
Épisode 85 terminé | Score : 1140.00 | Total steps : 8290
Épisode 86 terminé | Score : 340.00 | Total steps : 8345
Épisode 87 terminé | Score : 320.00 | Total steps : 8429
Épisode 88 terminé | Score : 940.00 | Total steps : 8629
Épisode 89 terminé | Score : 510.00 | Total steps : 8703
Épisode 90 terminé | Score : 1020.00 | Total steps : 8791
Épisode 91 terminé | Score : 1140.00 | Total steps : 8931
Épisode 92 terminé | Score : 340.00 | Total steps : 8986
Épisode 93 terminé | Score : 350.00 | Total steps : 9070
Épisode 94 terminé | Score : 1140.00 | Total steps : 9211
